division,district,year,total_area_sq_km,riverine_area_sq_km,population,max_temp_c,min_temp_c,rainfall_meters,rice_metric_ton,wheat_metric_ton,sugarcane_metric_ton,potato_metric_ton,road_km,railway_km,waterway_monsoon_season_km,waterway_year_round_km,railway_station,steamer_station,bus_station
Barisal,Barguna,2011,1831,400,893000,25.3,12.2,2.38,238000,8,240,23792,4735,0,902,822,0,28,45
Barisal,Barisal,2011,2784,160,2324000,35.4,10.9,1.99,526156,1142,2945,14661,8953,0,3097,2093,0,60,96
Barisal,Bhola,2011,3403,1133,1777000,25.8,16,0.4,814000,6879,9907,85122,34590,0,1033,468,0,22,21
Barisal,Jhalokati,2011,707,33,683000,25,10.9,1.99,203308,8,1096,3030,3046,0,743,541,0,11,12
Barisal,Patuakhali,2011,3221,663,1536000,25.3,12.2,2.38,598799,5,4671,56219,6812,0,3763,3135,0,103,62
Barisal,Pirojpur,2011,1277,106,1111000,25,10.9,1.99,311234,3,40,9874,4089,0,995,536,0,14,34
Chittagong,Bandarban,2011,4479,3.16,388000,27,14.9,4.41,49788,0,720,5404,1586,0,111,105,0,3,11
Chittagong,Chittagong,2011,5283,550,7616000,25,13.3,3.01,791000,9,12404,73567,10274,162,2495,1404,54,43,125
Chittagong,Cox's Bazar,2011,2491,161,2290000,27,14.9,4.41,420287,0,5351,13895,4144,0,1028,1633,0,31,14
Chittagong,Khagrachhari,2011,2749,41,614000,25.6,11.9,2.16,916105,NA,14993,5085,3397,NA,31,37,NA,1,7
Chittagong,Rangamati,2011,6116,295,596000,25.6,11.9,2.16,73254,0,4912,4751,2693,0,762,357,0,24,43
Comilla,Brahamanbaria,2011,1881,102,2840000,24.3,11.3,1.88,616744,5493,94,26871,3154,103,831,476,14,19,33
Comilla,Chandpur,2011,1645,208,2416000,23.9,12,2.11,386371,3468,26362,311288,5275,45,1795,326,10,33,32
Comilla,Comilla,2011,3146,86,5387000,29.6,11.3,1.88,1262074,5970,3301,195033,10217,119,876,454,19,27,130
Comilla,Feni,2011,990,52.6,1437000,24.2,11.4,3.19,333789,136,4365,10443,3488,46,155,102,5,0,39
Comilla,Lakshmipur,2011,1440,86,1729000,24.2,11.4,3.19,337185,95,4254,4278,6001,0,122,190,0,6,32
Comilla,Noakhali,2011,3686,493,3108000,23.5,12.8,2.8,541319,42,1752,21112,8326,23,598,269,7,3,14
Dhaka,Dhaka,2011,1464,64,1205000,23.4,12.2,1.78,249566,828,7165,52698,6832,356,344,247,8,5,114
Dhaka,Gazipur,2011,1806,18,3403000,23.4,12.2,1.78,362865,365,39922,5911,5108,72,1036,85,11,10,48
Dhaka,Kishoreganj,2011,2689,121,2911000,22.2,10.8,2.15,913082,1514,2560,78323,5890,77,523,332,12,31,53
Dhaka,Manikganj,2011,1384,233,1392000,23.4,12.2,1.78,305663,2007,36344,29000,2723,0,526,115,0,2,68
Dhaka,Munshiganj,2011,1004,93,1446000,23.4,12.2,1.78,236191,457,4465,1126594,2161,0,690,325,0,10,28
Dhaka,Narayanganj,2011,684,111,2948000,23.4,12.2,1.78,140636,603,1450,78866,2348,17,157,100,4,9,54
