phase,si,id,zone,activity,location,agency,cost_mil_usd
1,1,NW-20,"Northern Zone, Rangpur",dredging,Kumlal-Nautara River,BWDB,6.52
1,2,NW-29,"Northern Zone, Rangpur",dredging,Gidari River,BWDB,5.27
1,3,NW-30,"Northern Zone, Rangpur",dredging,Girai River,BWDB,39.55
1,4,NW-47,"Northern Zone, Rangpur",dredging,Choto Senua River,BWDB,0.56
1,5,NW-75,"Northern Zone, Rangpur",dredging,Phulkumar,BWDB,17.51
1,6,NW-97,"Northern Zone, Rangpur",dredging,Maldaha River,BWDB,4.48
1,7,NW-101,"Northern Zone, Rangpur",dredging,Ratnai (Lalmonirhat) River,BWDB,2.81
1,8,NW-112,"Northern Zone, Rangpur",dredging,Senua River,BWDB,3.66
1,1,18,"Northern Zone, Rangpur",dredging,Atrai River,BIWTA,269.47
1,2,48,"Northern Zone, Rangpur",dredging,Dharla River,BIWTA,280.39
1,3,78,"Northern Zone, Rangpur",dredging,Dudkumer River,BIWTA,105.83
1,4,117,"Northern Zone, Rangpur",dredging,Old Brahmaputra River,BIWTA,131.45
1,5,127,"Northern Zone, Rangpur",dredging,Sua River,BIWTA,42.73
1,6,128,"Northern Zone, Rangpur",dredging,Tulai River,BIWTA,29.02
1,7,130,"Northern Zone, Rangpur",dredging,Punarbhaba River,BIWTA,260.47
1,1,NA,"Northern Zone, Rangpur",re-excavation,Panchagarh district,LGED,15.23
1,2,NA,"Northern Zone, Rangpur",re-excavation,Thakurgaon district,LGED,13.39
1,3,NA,"Northern Zone, Rangpur",re-excavation,Dinajpur district,LGED,59.19
1,4,NA,"Northern Zone, Rangpur",re-excavation,Nilphamari district,LGED,2.66
1,5,NA,"Northern Zone, Rangpur",re-excavation,Lalmonirhat district,LGED,9.16
1,6,NA,"Northern Zone, Rangpur",re-excavation,Kurigram district,LGED,9.8
1,7,NA,"Northern Zone, Rangpur",re-excavation,Rangpur district,LGED,33.7
1,8,NA,"Northern Zone, Rangpur",re-excavation,Gaibandha district,LGED,11.28
1,1,NW-4,"North Western Zone, Rajshahi",dredging,Atrai (Naogaon-Natore) River,BWDB,44.69
1,2,NW-5,"North Western Zone, Rajshahi",dredging,Atrai (Pabna) River,BWDB,13.84
1,3,NW-15,"North Western Zone, Rajshahi",dredging,Kageshawary River,BWDB,5.1
